Keywords,city,store_number,Agg store_number,address,state,zip_code
Target,Villa Park,957,957 00000957 0000957,50 E North Ave,IL,60181-1244
Target,Cary,961,961 00000961 0000961,2021 Walnut St,NC,27518-9205
Target,Myrtle Beach,963,963 00000963 0000963,1150 Seaboard St,SC,29577-6517
Target,Huntersville,966,966 00000966 0000966,9801 Sam Furr Rd,NC,28078-8219
Target,Jacksonville Beach,967,967 00000967 0000967,490 Marsh Landing Pkwy,FL,32250-5855
Target,Miami,968,968 00000968 0000968,7795 SW 40th St,FL,33155-3546
Target,Alpharetta,970,970 00000970 0000970,6000 N Point Pkwy,GA,30022-3006
Target,Kennesaw,981,981 00000981 0000981,740 Ernest W Barrett Pkwy NW,GA,30144-6860
Target,Medina,984,984 00000984 0000984,1015 N Court St,OH,44256-1582
Target,Strongsville,985,985 00000985 0000985,18200 Royalton Rd,OH,44136-5181
Target,Heath,989,989 00000989 0000989,270 Airport Pkwy,OH,43056-1278
Target,Houston,993,993 00000993 0000993,6955 Highway 6 N,TX,77084-1313
Target,Redmond,995,995 00000995 0000995,17700 NE 76th St,WA,98052-3300
Target,Issaquah,996,996 00000996 0000996,755 NW Gilman Blvd,WA,98027-5357
Target,Nottingham,1001,1001 000001001 00001001,5230 Campbell Blvd,MD,21236-4983
Target,Bel Air,1002,1002 000001002 00001002,580 Marketplace Dr,MD,21014-4310
Target,Glen Burnie,1003,1003 000001003 00001003,7951 Nolpark Ct,MD,21061-5205
Target,Bowie,1004,1004 000001004 00001004,4600 Mitchellville Rd,MD,20716-3110
Target,Fairfax,1005,1005 000001005 00001005,10301 New Guinea Rd,VA,22032-3268
Target,Upper Marlboro,1006,1006 000001006 00001006,10500 Campus Way S,MD,20774-1309
Target,Laurel,1007,1007 000001007 00001007,3343 Corridor Marketplace,MD,20724-2378
Target,Waldorf,1008,1008 000001008 00001008,3300 Western Pkwy,MD,20603-4582
Target,Sterling,1009,1009 000001009 00001009,46201 Potomac Run Plz,VA,20164-6609
Target,Amherst,1010,1010 000001010 00001010,1575 Niagara Falls Blvd,NY,14228-2704
Target,Williamsville,1011,1011 000001011 00001011,8290 Transit Rd,NY,14221-2820
Target,Niagara Falls,1012,1012 000001012 00001012,7414 Niagara Falls Blvd,NY,14304-1720
Target,Buffalo,1013,1013 000001013 00001013,2626 Delaware Ave,NY,14216-1737
Target,Cheektowaga,1014,1014 000001014 00001014,1750 Walden Ave,NY,14225-4925
Target,Colonial Heights,1016,1016 000001016 00001016,721 Southpark Blvd,VA,23834-3605
Target,Chester,1017,1017 000001017 00001017,2530 Weir Rd,VA,23831-5350
Target,Richmond,1018,1018 000001018 00001018,5401 W Broad St,VA,23230-2629
Target,Chesapeake,1021,1021 000001021 00001021,1316 Greenbrier Pkwy,VA,23320-0605
