Keywords,city,store_number,store_number,address,state,zip_code
Publix,Brunswick,431,431 #0431 #431,171 Village At Glynn Pl Ste 100,GA,31525-1988
Publix,Hollywood,432,432 #0432 #432,3251 Hollywood Blvd,FL,33021
Publix,Jacksonville,433,433 #0433 #433,14444 Beach Blvd Ste 6,FL,32250-2010
Publix,Palm Beach Gardens,434,434 #0434 #434,4200 Northlake Blvd,FL,33410-6252
Publix,Gainesville,435,435 #0435 #435,5200 NW 43rd St Ste 401,FL,32606-4483
Publix,Orlando,436,436 #0436 #436,2873 S Orange Ave,FL,32806-5403
Publix,Deland,437,437 #0437 #437,2410 S Woodland Blvd,FL,32720-8636
Publix,Belleview,438,438 #0438 #438,10135 SE US Highway 441,FL,34420-2850
Publix,Altamonte Springs,442,442 #0442 #442,851 S State Road 434,FL,32714-4811
Publix,Ormond Beach,446,446 #0446 #446,1478 W Granada Blvd,FL,32174-9165
Publix,The Villages,447,447 #0447 #447,1120 Bichara Blvd,FL,32159-7716
Publix,Winter Haven,448,448 #0448 #448,6031 Cypress Gardens Blvd,FL,33884-4115
Publix,Mount Pleasant,449,449 #0449 #449,1000 Johnnie Dodds Blvd Ste 106,SC,29464-3187
Publix,Albany,450,450 #0450 #450,2715 Dawson Rd,GA,31707-1673
Publix,Athens,451,451 #0451 #451,3620 Atlanta Hwy,GA,30606-7219
Publix,Cape Coral,452,452 #0452 #452,100 Hancock Bridge Pkwy W,FL,33991-2088
Publix,Naples,453,453 #0453 #453,5991 Pine Ridge Rd,FL,34119-3956
Publix,Aventura,454,454 #0454 #454,18995 Biscayne Blvd,FL,33180-2818
Publix,Kingsland,455,455 #0455 #455,1601 Ga Highway 40 E,GA,31548-6500
Publix,Savannah,456,456 #0456 #456,155 Johnny Mercer Blvd,GA,31410-2118
Publix,Spring Hill,457,457 #0457 #457,4365 Commercial Way,FL,34606-1917
Publix,Oviedo,458,458 #0458 #458,4250 Alafaya Trl Ste 148,FL,32765-9430
Publix,Goose Creek,459,459 #0459 #459,208 Saint James Ave Ste C,SC,29445-2994
Publix,Morrow,461,461 #0461 #461,2035 Mount Zion Rd,GA,30260-3313
Publix,Woodstock,463,463 #0463 #463,4403 Towne Lake Pkwy,GA,30189-8132
Publix,Mableton,464,464 #0464 #464,5015 Floyd Rd SW,GA,30126-1673
Publix,Orlando,465,465 #0465 #465,2300 S Chickasaw Trl,FL,32825-8416
Publix,Melbourne,467,467 #0467 #467,7777 N Wickham Rd,FL,32940-7976
Publix,Sandy Springs,468,468 #0468 #468,6615 Roswell Rd NE,GA,30328-3103
Publix,Johns Creek,469,469 #0469 #469,9925 Haynes Bridge Rd,GA,30022-8532
Publix,Newnan,470,470 #0470 #470,370 Bullsboro Dr,GA,30263-1069
Publix,Macon,471,471 #0471 #471,195 Tom Hill Sr Blvd,GA,31210-1816
Publix,Charleston,472,472 #0472 #472,1401 Sam Rittenberg Blvd,SC,29407-5031
Publix,Hilton Head Island,473,473 #0473 #473,45 Pembroke Dr,SC,29926-2262
Publix,Columbus,474,474 #0474 #474,1639 Bradley Park Dr Ste 600,GA,31904-3625
Publix,Hernando,475,475 #0475 #475,2685 N Forest Ridge Blvd,FL,34442-5123
Publix,Thomasville,476,476 #0476 #476,2551 E Pinetree Blvd Ste 11,GA,31792-4823
Publix,Miami,478,478 #0478 #478,20711 S Dixie Hwy,FL,33189-2215
Publix,Winder,480,480 #0480 #480,17 Monroe Hwy Ste A,GA,30680-2494
Publix,Panama City,481,481 #0481 #481,650 W 23rd St,FL,32405-3921
Publix,Summerville,483,483 #0483 #483,1575 Old Trolley Rd,SC,29485-8208
Publix,Boynton Beach,484,484 #0484 #484,6627 W Boynton Beach Blvd,FL,33437-3526
Publix,Douglasville,485,485 #0485 #485,3316 Highway 5,GA,30135-2308
Publix,North Augusta,486,486 #0486 #486,334 E Martintown Rd,SC,29841-4261
Publix,Hudson,487,487 #0487 #487,13752 Little Rd,FL,34667-8024
Publix,Naples,488,488 #0488 #488,2310 Pine Ridge Rd,FL,34109-2006
Publix,Bradenton,491,491 #0491 #491,7290 55th Ave E,FL,34203-8002
Publix,Oviedo,493,493 #0493 #493,2100 Winter Springs Blvd,FL,32765-9342
