row_id|at_merchantid|at_transactioncity|at_transactionstateprovince|at_transactionpostalcode1|at_transactionpostalcode2|at_transactioncountrycode|at_transactiondescription|at_transactiondescription2|at_mcccode
13465||||||||CITI CARD ONLINE |
13468||||||||JPMORGAN CHASE   |
13494||||||||Nationstar       |
13513|||||||| 4971849061 To Pelican World|
13536||||||||          NYSDEC      |
13549||||||||American Express |
13552||||||||PAYCHEX TPS           |
13572||||||||ORP PYMNT RSCDBT554252    CT|
13597||||||||WF HOME MTG      |
13633||||||||VETERANS AFFAIRS      |
13636||||||||ard ending in 4252|
13688||||||||OCWEN            |
13719||||||||American Express |
13760||||||||DISCOVER         |
13837||||||||AMERICAN EXPRESS |
13845||||||||JPMORGAN CHASE   |
13849||||||||FORD CREDIT      |
13890||||||||SUNTRUST MORTG   |
13903||||||||ADP TX/FINCL SVC |
13922|||||||| MMA ...9190 transaction#: 4|
13932||||||||WF HOME MTG      |
13942||||||||IRS              |
13944||||||||ard ending in 1013|
13961||||||||DISCOVER         |
13985||||||||IRS              |
14039||||||||American Express |
14045||||||||ABS PNC BANK-PGH |
14084||||||||Nationstar       |
14102||||||||ard ending in 1601|
14114||||||||ADP TX/FINCL SVC |
14158||||||||WESTERN UNION CP       |
14159||||||||ard ending in 3738|
14177||||||||ard ending in 8222|
14188||||||||ard ending in 1363|
14198||||||||SWBC MORTGAGE    |
14214|||||||| MMA ...5901 transaction#: 4|
14252||||||||USAA P&C         |
14273||||||||BETHPAGE TEL ECM |
14295||||||||WF HOME MTG      |
14308||||||||CHASE            |
14418||||||||IRS              |
14435||||||||Boulder Creek    |
14442||||||||ard ending in 7701|
14449||||||||JPMORGAN CHASE   |
14460||||||||GREATER ORLANDO2 |
14470||||||||CHASE            |
14485||||||||Key West         |
14493||||||||ard ending in 7695|
14506||||||||ard ending in 1015|
14567||||||||American Express |
14603||||||||R AND V MANAGEME |
14616||||||||ard ending in 5233|
14635||||||||AFCO PMT &       |
14647||||||||CAPITAL ONE      |
14695||||||||ADP TX/FINCL SVC |
14712||||||||CHASE            |
14744||||||||JPMORGAN CHASE   |
14766||||||||JPMORGAN CHASE   |
14777||||||||MORTGAGE PYMT -  |
14815||||||||IRS              |
