Accuracy,Class,True Positive,False Positive,False Negative,True Negative,Precision,Recall,Specificity,F Measure
,Uniqlo,993,2,0,1004284,0.9979899497487437,1.0,0.9999980085354172,0.9989939637826961
,United Airlines,1066,7,0,1004206,0.9934762348555451,1.0,0.9999930293672756,0.9967274427302478
,University of North Carolina,709,43,0,1004527,0.9428191489361702,1.0,0.9999571956160347,0.9705681040383299
,Urban Outfitters,1046,2,0,1004231,0.9980916030534351,1.0,0.9999980084303145,0.9990448901623686
,US Airways,1007,0,1,1004271,1.0,0.9990079365079365,1.0,0.9995037220843672
,USAA,21909,1,1,983368,0.9999543587403013,0.9999543587403013,0.999998983087732,0.9999543587403013
,USPS,1104,46,13,1004116,0.96,0.9883616830796778,0.9999541906584795,0.9739744155271284
,Valero,1087,5,0,1004187,0.9954212454212454,1.0,0.9999950208725025,0.9977053694355209
,Van Heusen,1050,0,0,1004229,1.0,1.0,1.0,1.0
,Vans,995,93,2,1004189,0.9145220588235294,0.9979939819458375,0.9999073965280668,0.9544364508393285
,Verizon Wireless,1208,10,0,1004061,0.9917898193760263,1.0,0.9999900405449416,0.9958779884583676
,Veterans Canteen Service,1016,3,0,1004260,0.9970559371933267,1.0,0.999997012734712,0.9985257985257985
,Victoria's Secret,942,2,1,1004334,0.9978813559322034,0.9989395546129375,0.9999980086345606,0.9984101748807631
,Village Inn,927,17,0,1004335,0.9819915254237288,1.0,0.9999830736634168,0.9909139497594869
,Virgin Mobile,983,0,2,1004294,1.0,0.9979695431472081,1.0,0.9989837398373984
,Virginia Department of Alcoholic Beverage Control,1028,1,0,1004250,0.9990281827016521,1.0,0.9999990042330055,0.9995138551288284
,Vistaprint,998,0,0,1004281,1.0,1.0,1.0,1.0
,Vitacost,1045,1,0,1004233,0.9990439770554493,1.0,0.9999990042161488,0.9995217599234816
,Vonage,1302,0,2,1003975,1.0,0.9984662576687117,1.0,0.9992325402916347
,Vons,950,0,0,1004329,1.0,1.0,1.0,1.0
,Vudu,1037,0,0,1004242,1.0,1.0,1.0,1.0
,Waffle House,920,0,1,1004358,1.0,0.998914223669924,1.0,0.9994568169473113
,Waitrose,1010,0,13,1004256,1.0,0.9872922776148583,1.0,0.9936055090998525
,Waldbaum's,1008,0,0,1004271,1.0,1.0,1.0,1.0
,Walgreens,1260,1,0,1004018,0.9992069785884219,1.0,0.9999990040029123,0.9996033320111067
,Walmart,2000,54,1,1003224,0.9737098344693281,0.9995002498750625,0.9999461764336505,0.9864364981504317
,Washington Metropolitan Area Transit Authority,1333,6,0,1003940,0.9955190440627334,1.0,0.9999940235829418,0.9977544910179641
,Wawa Inc.,1233,4,0,1004042,0.9967663702506063,1.0,0.9999960161187834,0.9983805668016195
,Wegmans,999,3,0,1004277,0.9970059880239521,1.0,0.999997012785279,0.9985007496251874
,Weigel's,1026,0,0,1004253,1.0,1.0,1.0,1.0
,Weight Watchers,1037,1,0,1004241,0.9990366088631984,1.0,0.9999990042240815,0.9995180722891567
,Weis Markets,1042,0,0,1004237,1.0,1.0,1.0,1.0
,Wendy's,1069,8,0,1004202,0.9925719591457753,1.0,0.9999920335388016,0.9962721342031687
,Western Beef,1086,0,0,1004193,1.0,1.0,1.0,1.0
